OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
152,O19,KNEELAND AIRPORT,KNEELAND,Eureka,Humboldt,Community,COMMUNITY-Firefighting,General Aviation,01559.1*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O19,2395.30724597739,99652.0289563877
153,O24,LEE VINING AIRPORT,LEE VINING,Lee Vining,Mono,Limited Use,LIMITED USE-Recreation,General Aviation,01764.1*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=O24,5223.7523252151,419771.715681223
154,LHM,LINCOLN REGIONAL AIRPORT / KARL HARDER FIELD,LINCOLN REGIONAL,Lincoln,Placer,Regional,REGIONAL-Business/Corporate,Reliever,01772.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=LHM,12868.457415028,5303905.33290161
155,LVK,LIVERMORE MUNICIPAL AIRPORT,LIVERMORE MUNI,Livermore,Alameda,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01779.2*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=LVK,15791.7714793385,4243076.31554556
156,O26,LONE PINE AIRPORT,LONE PINE,Lone Pine,Inyo,Community,COMMUNITY,General Aviation,01791.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=O26,8202.41322042461,715047.467483044
157,LSN,LOS BANOS MUNICIPAL AIRPORT,LOS BANOS MUNI,Los Banos,Merced,Community,COMMUNITY-Agriculture,General Aviation,01839.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=LSN,4697.75372569167,788371.117719323
158,L84,LOST HILLS-KERN COUNTY AIRPORT,LOST HILLS,Lost Hills,Kern,Community,COMMUNITY,General Aviation,01845.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L84,7938.30201646397,2101023.38746708
159,MAE,MADERA MUNICIPAL AIRPORT,MADERA MUNI,Madera,Madera,Regional,REGIONAL-Business/Corporate,General Aviation,01853.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=MAE,11076.2379402869,3608011.89700868
160,MMH,MAMMOTH YOSEMITE AIRPORT,MAMMOTH YOSEMITE,Mammoth Lakes,Mono,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01857.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=MMH,8777.6323875474,1488429.86201811
161,MPI,MARIPOSA - YOSEMITE AIRPORT,MARIPOSA - YOSEMITE,Mariposa,Mariposa,Regional,REGIONAL,General Aviation,01866.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=MPI,4849.74105581166,642054.636562751
162,MHR,SACRAMENTO MATHER AIRPORT,SACRAMENTO MATHER,Sacramento,Sacramento,Metropolitan,METROPOLITAN-Cargo,Reliever,02126.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=MHR,23500.2624923706,15041037.9361924
163,O85,BENTON FIELD,BENTON FIELD,Redding,Shasta,Regional,REGIONAL,General Aviation,02088.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O85,6559.18641244734,1106865.48424352
164,O57,BRYANT FIELD AIRPORT,BRYANT FIELD,Bridgeport,Mono,Community,COMMUNITY-Recreation,General Aviation,01346.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=O57,4194.52902455186,323525.905353115
165,O59,CEDARVILLE AIRPORT,CEDARVILLE,Cedarville,Modoc,Community,COMMUNITY,General Aviation,01384.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O59,6104.75692621177,1462833.58234137
166,O60,CLOVERDALE MUNICIPAL AIRPORT,CLOVERDALE MUNI,Cloverdale,Sonoma,Community,COMMUNITY,General Aviation,01411.1*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=O60,3735.05808510292,446275.721648099
167,O63,EXETER,EXETER,Exeter,Tulare,Community,COMMUNITY,Not a NPIAS Facility,01561.9*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=O63,2742.91096741278,188409.844445314
168,O89,FALL RIVER MILLS AIRPORT,FALL RIVER MILLS,Fall River Mills,Shasta,Community,COMMUNITY,General Aviation,01569.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O89,8950.57389851454,1350900.86824787
169,L05,KERN VALLEY AIRPORT,KERN VALLEY,Kernville,Kern,Community,COMMUNITY-Recreation,General Aviation,01710.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L05,6522.10037986356,384526.433541223
170,LLR,LITTLE RIVER AIRPORT,LITTLE RIVER,Little River,Mendocino,Community,COMMUNITY,General Aviation,01778.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=LLR,9927.00910303741,3849603.5617537
171,L53,LODI AIRPARK AIRPORT,LODI AIRPARK,Lodi,San Joaquin,Community,COMMUNITY-Recreation,Not a NPIAS Facility,01784.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=L53,3048.15536635644,334222.977839334
172,OAR,MARINA MUNICIPAL AIRPORT,MARINA MUNI,Marina,Monterey,Community,COMMUNITY,General Aviation,01860.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=OAR,8063.41332190024,2346166.50697027
173,KIC,MESA DEL REY AIRPORT,MESA DEL REY,King City,Monterey,Community,COMMUNITY,General Aviation,01713.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=KIC,4998.01093323373,744471.952452671
174,GOO,NEVADA COUNTY AIRPORT,NEVADA COUNTY,Grass Valley,Nevada,Regional,REGIONAL-Recreation,General Aviation,01626.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=GOO,7571.12452086316,791066.311002744
175,L52,OCEANO COUNTY AIRPORT,OCEANO,Oceano,San Luis Obispo,Limited Use,LIMITED USE-Recreation,General Aviation,01971.7*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=L52,2985.80386897141,254443.689497218
176,OKB,OCEANSIDE MUNICIPAL AIRPORT,OCEANSIDE MUNI,Oceanside,San Diego,Regional,REGIONAL,General Aviation,01975.1*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=OKB,3307.63929986715,259108.181987936
177,OVE,OROVILLE MUNICIPAL AIRPORT,OROVILLE MUNI,Oroville,Butte,Regional,REGIONAL,General Aviation,01998.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=OVE,13070.2629686084,6161455.50302125
178,PRB,PASO ROBLES MUNICIPAL AIRPORT,PASO ROBLES MUNI,Paso Robles,San Luis Obispo,Regional,REGIONAL,General Aviation,02032.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=PRB,14087.2085835447,7444167.766878
179,O69,PETALUMA MUNICIPAL AIRPORT,PETALUMA MUNI,Petaluma,Sonoma,Regional,REGIONAL-Business/Corporate,Reliever,02042.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=O69,6366.96755936986,1470562.43412282
180,PVF,PLACERVILLE AIRPORT,PLACERVILLE,Placerville,El Dorado,Regional,REGIONAL-Business/Corporate,General Aviation,02052.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=PVF,7387.32777466611,1618870.96334167
181,O88,RIO VISTA MUNICIPAL AIRPORT,RIO VISTA MUNI,Rio Vista,Solano,Regional,REGIONAL,General Aviation,02110.9*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=O88,8545.86626076827,1841001.96312559
182,O79,SIERRAVILLE DEARWATER AIRPORT,SIERRAVILLE DEARWATER,Sierraville,Sierra,Limited Use,LIMITED USE,Not a NPIAS Facility,02295.4*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O79,3663.68770962781,189893.985590921
183,O55,SOUTHARD FIELD AIRPORT,SOUTHARD FIELD,Bieber,Lassen,Limited Use,LIMITED USE,Not a NPIAS Facility,01318.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O55,4395.19566689955,711326.73108086
184,O52,SUTTER COUNTY AIRPORT,SUTTER COUNTY,Yuba City,Sutter,Community,COMMUNITY,General Aviation,02494.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O52,5756.14562257342,1191553.41819082
185,L22,YUCCA VALLEY AIRPORT,YUCCA VALLEY,Yucca Valley,San Bernardino,Community,COMMUNITY,Not a NPIAS Facility,02496.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L22,3777.08641617088,378134.270180492
186,MCC,McCLELLAN AIRFIELD,McCLELLAN,Sacramento,Sacramento,Metropolitan,METROPOLITAN-Business/Corporate,General Aviation,02128.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=MCC,20453.2062592156,9999477.63375117
187,MHV,MOJAVE AIRPORT,MOJAVE,Mojave,Kern,Regional,REGIONAL-Business/Corporate,General Aviation,01899.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=MHV,19852.2682377657,17948214.4386544
188,MYF,MONTGOMERY FIELD,MONTGOMERY FIELD,San Diego,San Diego,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02166.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=MYF,9113.61443220625,3165504.29542802
189,O02,NERVINO AIRPORT,NERVINO,Beckwourth,Plumas,Community,COMMUNITY,General Aviation,01307.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O02,9013.59964644039,1510923.4873284
190,O27,OAKDALE MUNICIPAL AIRPORT,OAKDALE MUNI,Oakdale,Stanislaus,Community,COMMUNITY,General Aviation,01970.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O27,5490.95427992275,757194.032350081
191,L90,OCOTILLO AIRPORT,OCOTILLO,Ocotillo Wells,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01979.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L90,7087.89322837757,2220489.03371004
192,L73,POSO-KERN COUNTY AIRPORT,POSO,Famoso,Kern,Limited Use,LIMITED USE,Not a NPIAS Facility,01569.3*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L73,6436.02795875137,2452939.05502975
193,O39,RAVENDALE AIRPORT,RAVENDALE,Ravendale,Lassen,Limited Use,LIMITED USE,Not a NPIAS Facility,02082.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O39,2941.47258332892,156456.617466753
194,O32,REEDLEY MUNICIPAL AIRPORT,REEDLEY MUNI,Reedley,Fresno,Community,COMMUNITY,General Aviation,02099.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=O32,4869.24728266678,868978.817150197
195,L67,RIALTO MUNICIPAL/ART SCHOLL MEMORIAL FIELD AIRPORT,RIALTO MUNI,Rialto,San Bernardino,Community,COMMUNITY,Reliever,02103.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L67,9818.83421401175,2744070.12563866
196,O05,ROGERS FIELD AIRPORT,ROGERS FIELD,Chester,Plumas,Regional,REGIONAL,General Aviation,01392.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O05,10892.4308470603,1668100.53782083
197,O09,ROUND VALLEY AIRPORT,ROUND VALLEY,Covelo,Mendocino,Community,COMMUNITY,General Aviation,01458.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O09,5240.04709594277,684535.553943574
198,MIT,SHAFTER AIRPORT - MINTER FIELD,SHAFTER MINTER FIELD,Shafter,Kern,Regional,REGIONAL-Business/Corporate,General Aviation,02292.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=MIT,13888.9488126117,7414918.71711369
199,L61,SHOSHONE AIRPORT,SHOSHONE,Shoshone,Inyo,Limited Use,LIMITED USE,Not a NPIAS Facility,02295.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=L61,3147.99636943919,219582.720476556
200,O15,TURLOCK MUNICIPAL AIRPORT,TURLOCK MUNI,Turlock,Merced,Community,COMMUNITY,General Aviation,02376.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O15,6957.57857140432,2057955.05151519
201,O41,WATTS - WOODLAND AIRPORT,WATTS - WOODLAND,Woodland,Yolo,Community,COMMUNITY,Not a NPIAS Facility,02467.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O41,4078.30176975894,508700.574151971
202,O46,WEED AIRPORT,WEED,Weed,Siskiyou,Community,COMMUNITY,General Aviation,02434.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O46,9681.43575719652,2479472.19778448
203,M90,WILLIAM R. JOHNSTON (MENDOTA) AIRPORT,WILLIAM R. JOHNSTON,Mendota,Fresno,Community,COMMUNITY,General Aviation,01882.2*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=M90,4809.35019445801,742564.708709236
204,O28,WILLITS MUNICIPAL AIRPORT,WILLITS MUNI,Willits,Mendocino,Community,COMMUNITY-Recreation,General Aviation,02455.1*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O28,4307.12115527661,510992.871486961
205,O42,WOODLAKE AIRPORT,WOODLAKE,Woodlake,Tulare,Community,COMMUNITY,General Aviation,02463.51*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=O42,4141.77233219505,526973.384231852
206,MYV,YUBA COUNTY AIRPORT,YUBA COUNTY,Marysville,Yuba,Regional,REGIONAL-Business/Corporate,General Aviation,01873.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=MYV,12102.518707316,4077667.63314364
207,BUR,BOB HOPE AIRPORT,BOB HOPE,Burbank,Los Angeles,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01353.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=BUR,13525.3750015774,3315995.03800468
208,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO INT'L,San Francisco,San Mateo,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02187.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SFO,32970.7974073155,17992433.8265195
209,SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO INT'L,San Diego,San Diego,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02170.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=SAN,10008.0473061747,3028717.04852586
210,SNA,"JOHN WAYNE AIRPORT, ORANGE CO.",JOHN WAYNE,Santa Ana,Orange,Commercial/Primary,PRIMARY-MEDIUIM HUB-METROPOLITAN-Business/Corporat,Commercial Service Primar,02230.*A,12,http://www.gcr1.com/5010web/airport.cfm?Site=SNA,8666.68619834883,2590748.73720828
211,LGB,LONG BEACH AIRPORT DAUGHERTY FIELD,LONG BEACH,Long Beach,Los Angeles,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01794.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=LGB,16744.2272091313,6857604.52444551
212,PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS INT'L,Palm Springs,Riverside,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02017.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=PSP,13353.2652259677,5199075.60871067
213,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES INT'L,Los Angeles,Los Angeles,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01818.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=LAX,25626.4160428134,20216286.3091985
214,ONT,ONTARIO INTERNATIONAL AIRPORT,ONTARIO INT'L,Ontario,San Bernardino,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01986.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=ONT,20431.5493442347,10368375.9382
215,SBA,SANTA BARBARA MUNICIPAL AIRPORT,SANTA BARBARA MUNI,Santa Barbara,Santa Barbara,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02235.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=SBA,12391.999789108,5732619.74132266
216,FAT,FRESNO YOSEMITE INTERNATIONAL AIRPORT,FRESNO YOSEMITE INT'L,Fresno,Fresno,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01591.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=FAT,12886.3473372578,7985007.17211059
217,SJC,"SAN JOSE INTERNATIONAL AIRPORT, NORMAN Y. MINETA",SAN JOSE INT'L,San Jose,Santa Clara,Commercial/Primary,PRIMARY-MEDUIM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02204.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SJC,10865.5195676228,6173835.63667413
218,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO INT'L,San Francisco,San Mateo,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02187.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SFO,37425.9425340279,14706997.7370256
219,OAK,METROPOLITAN OAKLAND INTERNATIONAL AIRPORT,METRO OAKLAND INT'L,Oakland,Alameda,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01971.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=OAK,21815.5187080925,15845660.9655901
220,SCK,STOCKTON METROPOLITAN AIRPORT,STOCKTON METROPOLITAN,Stockton,San Joaquin,Commercial/Primary,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02314.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=SCK,12812.2462857313,6223456.02820686
221,SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO INT'L,Sacramento,Sacramento,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02124.2*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=SMF,33780.5748349369,26895050.6557812
